City,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code,State
El Paso,681728,648245,5.2,649121,7.4,26.7,12.7,51.0,80.1,3.6,0.6,1.4,0.2,2.7,81.4,12.8,42828,23.1,Not applicable,58.9,127400,1255,429,837,Not applicable,226787,2.97,84.3,68.8,87.3,78.7,80.3,25.1,9.340708621,21.46905518,60.1,54.9,1310836,4253438,13170825,6348564,8445411,12558,23.2,47568,22734,19.1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55697,29356,21872,43311,10349,4277,49350,2543.2,255.24,4824000,Texas
Fort Wayne,270402,253739,6.6,253691,7.1,25.3,14.0,51.7,73.4,15.1,0.2,4.7,0.1,4.5,9.2,67.0,14216,8.2,Not applicable,62,115100,990,377,764,Not applicable,106673,2.45,83.6,12.6,91.0,83.7,88.5,27.8,10.42225761,10.3175511,66.5,62.5,590818,2691875,4689254,6481794,4689310,18422,21.2,49411,26970,16.0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20502,10702,7313,4117,15334,1808,17477,2293.4,110.62,1825000,Indiana
Fort Worth,909585,744824,22.1,741206,8,27.7,9.7,51.0,63.8,18.9,0.5,4.6,0.1,3.2,35.1,39.2,42121,16.8,Not applicable,57.4,169700,1590,557,1060,Not applicable,297498,2.89,83.1,33.2,92.8,84.0,82.2,29.7,7.437039009,20.03960584,67.3,59.8,1609477,6208461,Suppressed to avoid disclosure of confidential information,17623980,10333453,13282,27.2,62187,29531,14.5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,71545,35116,29425,33952,34675,6479,61686,2181.2,339.82,4827000,Texas
Fremont,241110,214074,12.6,214089,6,22.9,12.7,50.4,23.8,3.1,0.5,59.4,0.9,4.8,12.9,20.2,4954,48.6,Not applicable,60.7,931600,3174,700,2345,Not applicable,75687,3.09,89.4,62.5,96.5,93.2,93.5,57.0,3.610545301,1.91927196,66.3,56.9,331701,1803653,5193966,13487395,2617892,11793,35.4,133354,53259,4.3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18784,9515,6706,12690,5223,845,17095,2763.9,77.46,0626000,California
Fresno,531576,497172,6.9,494665,8.2,28.4,11.1,50.9,60.5,7.4,1.2,13.8,0.1,4.2,49.6,26.9,18889,20.4,Not applicable,46.7,242000,1584,474,1005,Not applicable,168625,3.06,83.4,43.4,89.7,81.5,77.4,21.9,10.50261171,9.106095872,61.8,56.5,841297,4486734,4367746,5459791,5960155,11782,22.2,50432,23564,25.2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35334,17898,13763,19484,14375,2595,30889,4418.3,111.96,0627000,California
Garland,239928,226908,5.7,226876,7.1,27.2,11.7,50.4,63.8,14.9,0.5,11.2,0.0,3.5,42.5,28.9,9004,29.6,Not applicable,62.5,160800,1451,595,1133,Not applicable,75234,3.16,87.9,50.4,94.9,88.6,77.1,22.9,6.01179436,26.11499501,69.2,61.3,286787,661591,5396642,1771865,2725356,11669,29.5,61211,25310,13.2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,21545,11895,7871,12218,8691,1822,19035,3974.4,57.09,4829000,Texas
Glendale,252381,226172,11.6,226721,7.2,25.5,11.7,50.6,77.1,6.8,1.6,4.2,0.2,3.9,38.2,47.2,13621,17.4,Not applicable,55.4,214700,1412,431,997,Not applicable,82810,2.95,82.5,33.8,91.3,79.8,83.1,21.5,9.727151781,13.76854627,63.7,57.6,387297,1441317,829892,834233,3821272,16461,28.7,55020,25561,18.2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16783,8176,6197,6249,9519,1336,14496,3780.2,59.98,0427820,Arizona
Greensboro,296710,268936,10.3,269666,6,21.8,13.7,53.5,47.3,41.4,0.5,5.0,0.1,3.0,7.9,42.6,14130,11.1,Not applicable,50.3,156300,1201,448,877,Not applicable,116309,2.37,82.4,14.0,86.8,73.0,89.8,38.2,7.623617859,11.69695879,64.3,60.9,856553,2450516,22411895,9675854,4950946,17868,21.2,48964,29628,18.5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,26499,12537,10947,9316,15622,2405,22160,2131.5,126.52,3728000,North Carolina
Henderson,320189,257001,24.6,257729,5.1,21.4,19.4,50.9,75.5,6.0,0.5,8.2,0.5,4.8,16.8,64.6,24146,12.9,Not applicable,64.1,318800,1694,468,1292,Not applicable,116123,2.57,83.7,17.8,93.8,88.7,93.8,33.4,7.12042364,7.891660739,61.5,57.0,1083858,1330685,1459304,776456,5601788,21085,23.5,74147,39990,7.9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25906,13164,9197,6002,18845,2789,21806,2392.3,107.73,3231900,Nevada
Hialeah,233339,224704,3.8,224669,4.8,17.4,20.4,52.4,92.1,2.3,0.0,0.6,0.0,0.7,95.9,2.7,1857,74.4,Not applicable,45.7,228600,1476,466,1170,Not applicable,74559,3.12,91.8,93.8,81.8,71.0,69.7,15.7,6.665094542,25.26851177,58.4,51.9,238127,1242074,837426,1380458,2455980,10589,28.8,35068,17981,22.4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,48274,25462,19341,45245,2227,2181,45376,10474.1,21.45,1230000,Florida
Honolulu,345064,337721,2.2,337256,5.2,17.1,20.0,50.2,17.2,2.0,0.1,53.2,8.0,18.4,7.3,15.4,22188,27.4,Not applicable,44.7,683000,2590,675,1491,Not applicable,129019,2.60,85.2,36.5,89.4,83.2,89.0,37.2,6.08184666,4.835114379,63.2,59.5,3943956,4534947,1152704,5712767,7684234,22234,23.7,71465,37834,10.6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,38329,20350,13021,28092,7661,3079,32800,5572.5,60.52,1571550,Hawaii
Houston,2320268,2095517,10.7,2099451,7.6,25.1,10.5,50.1,57,22.6,0.3,6.8,0.1,2.2,45.0,24.4,69375,29.3,Not applicable,42.3,171800,1646,536,1041,Not applicable,858374,2.65,81.5,48.9,89.2,80.0,78.9,32.9,6.430682197,25.37648635,67.2,59.1,7746585,23365238,53787073,322772620,41589435,19247,27.7,52338,32521,20.1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,260347,134236,102813,155654,95726,20817,229093,3501.5,599.59,4835000,Texas
Indianapolis,876384,820457,6.8,820445,7.3,24.7,12.2,51.8,60.9,28.6,0.3,3.4,0.0,3.3,10.5,54.5,42717,9.7,Not applicable,53.1,137000,1170,440,892,Not applicable,338208,2.51,85.0,13.8,86.7,79.1,85.8,30.9,10.06591107,11.75750462,66.8,63.4,2529518,10048356,Suppressed to avoid disclosure of confidential information,Suppressed to avoid disclosure of confidential information,13416631,16071,23.6,47873,28363,18.0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,69366,34325,27668,18991,47298,6467,59063,2270.0,361.43,1836003,Indiana
Irvine,287401,212107,35.5,212375,6.4,22.0,10.2,51.0,47.7,1.7,0.2,43.1,0.2,4.9,10.3,40.3,5484,41.2,Not applicable,46.8,838000,3227,814,2361,Not applicable,98281,2.70,77.7,51.0,97.8,93.7,96.6,68.9,3.197328288,4.920158541,63.1,54.1,907926,1778652,11089148,30339277,4254423,18499,25.5,105126,50016,13.4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,31874,17592,9795,12867,16810,1813,28066,3212.6,66.11,0636770,California
Irving,239798,216285,10.9,216290,8.2,26.9,7.5,49.9,47.9,14.2,0.6,19.7,0.2,2.8,42.3,21.6,6891,38.4,Not applicable,36.8,177500,1661,617,1146,Not applicable,85284,2.80,79.0,58.8,95.6,85.3,80.5,37.7,4.753977063,21.58306489,74,64.3,795780,1276858,3150812,13262356,4776288,21188,24.2,64868,31448,12.2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,22175,12030,7569,12389,8432,1631,19141,3227.4,67.02,4837000,Texas
Jacksonville,911507,821750,10.9,821784,6.9,22.9,13.4,51.6,58.2,31.0,0.2,4.8,0.1,3.6,10.0,51.2,78558,11.3,Not applicable,56,173200,1366,452,1065,Not applicable,338991,2.57,80.8,15.0,91.0,83.7,89.5,28.6,9.747900722,13.66469442,64.3,60.8,1820021,7014974,10146265,18797560,12498355,14941,25.2,54701,30064,14.9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,70192,33828,28749,27446,39976,7130,59121,1100.1,747.00,1235000,Florida
Jersey City,262075,247608,5.8,247597,7.7,20.6,11.1,50.4,35.9,22.9,0.5,25.1,0.0,3.8,28.5,21.9,4197,41.8,Not applicable,29.1,373700,2683,1045,1401,Not applicable,103225,2.51,84.4,53.0,91.4,85.6,87.6,47.5,6.941327211,12.46076585,68.4,61.2,422529,1073908,857582,12481747,2568076,10093,37.2,70752,42022,17.2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,23681,12383,9196,13600,8993,1204,21509,16736.3,14.79,3436000,New Jersey
Kansas City,495327,459902,7.7,459787,6.8,23.1,12.9,51.5,60.9,28.2,0.4,2.7,0.2,3.6,10.6,55.2,25119,8.2,Not applicable,53.3,154600,1382,499,941,Not applicable,203356,2.35,81.5,12.4,89.8,81.3,90.0,35.2,9.249618025,13.39847305,69,65.1,1630048,5060279,8635055,14577576,7537341,16233,22.0,54194,32348,16.1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,39486,20191,14564,9979,27421,3514,33138,1459.9,314.95,2938000,Missouri
Laredo,262491,235780,11.3,236091,9.4,33.0,9.2,51.1,95.8,0.5,0.2,0.5,0.0,0.5,95.4,3.6,4740,25.9,Not applicable,61.8,129900,1395,514,851,Not applicable,71033,3.60,89.2,89.6,81.7,68.2,68.6,19.4,7.998526407,29.96748671,60.2,52.3,Suppressed to avoid disclosure of confidential information,Suppressed to avoid disclosure of confidential information,Suppressed to avoid disclosure of confidential information,Suppressed to avoid disclosure of confidential information,Suppressed to avoid disclosure of confidential information,Not available,20.7,47593,18771,26.7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,27517,14000,10688,24727,1842,1551,25034,2655.5,88.91,4841464,Texas
Las Vegas,651319,584489,11.4,583756,6.4,23.8,14.9,50.1,61.9,12.2,0.9,6.9,0.8,5.2,33.1,43.5,42184,21.0,Not applicable,52.7,258600,1496,439,1102,Not applicable,231915,2.70,81.1,33.1,91.8,80.0,84.8,24.6,8.769608947,14.13739398,62.3,57.5,2979167,3956472,896775,2620729,8550025,14335,26.1,56354,30761,15.3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55856,27615,21421,20822,32417,5690,47290,4298.2,135.82,3240000,Nevada
Lexington,323152,295870,9.2,295803,6.1,20.9,13.0,51.0,74.9,14.6,0.2,3.8,0.0,3.8,7.2,71.0,15468,9.7,Not applicable,54.4,189800,1345,468,896,Not applicable,129784,2.37,75.6,13.1,93.6,86.7,91.2,43.6,9.214208202,7.697137527,67.8,64.0,939381,3726023,2922001,4517832,4994845,16350,21.0,57291,34442,16.8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,28671,16148,9148,3431,23928,2863,24056,1042.8,283.65,2146027,Kentucky
Lincoln,289102,258794,11.7,258379,6.5,22.5,13.0,49.8,84.9,4.4,0.7,4.6,0.1,3.9,7.6,79.6,13523,8.5,Not applicable,57,169800,1369,536,852,Not applicable,113551,2.38,77.6,12.3,93.5,87.6,93.3,39.6,7.508780877,8.752909822,71.5,68.4,573325,2335143,5711541,2924550,4184145,15765,18.7,57746,31301,13.5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,22687,11520,8174,2092,19623,2193,19229,2899.4,89.11,3128000,Nebraska
Long Beach,462628,462221,0.1,462257,6.5,22.4,11.4,50.5,51.2,12.7,1.1,13.1,0.8,4.7,42.6,28.2,16659,25.2,Not applicable,39.8,556100,2429,529,1324,Not applicable,166813,2.74,88.7,46.1,92.8,84.4,80.2,31.1,7.009815924,9.409856652,65.9,61.1,984077,3359300,4464417,6962345,3783946,8087,31.0,63017,32323,16.8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,43731,21681,18323,25159,16944,3172,38923,9191.3,50.29,0643000,California
Los Angeles,3979576,3793139,4.9,3792621,5.9,20.7,12.4,50.5,52.1,8.9,0.7,11.6,0.2,3.8,48.5,28.5,84178,36.9,Not applicable,36.8,636900,2724,717,1450,Not applicable,1383869,2.80,88.4,58.9,91.6,83.0,77.5,34.4,6.295822524,12.81261096,66.5,60.0,9295589,29830223,43502545,63834855,40156864,10409,32.0,62142,35261,18.0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,497999,262460,192358,247710,235220,30581,452817,8092.3,468.67,0644000,California
Louisville,617638,595710,3.7,597337,6.5,22.5,14.9,51.5,69.9,23.6,0.2,2.7,0.1,2.6,5.6,65.6,36872,7.7,Not applicable,60.1,158700,1260,470,846,Not applicable,248404,2.43,84.2,9.6,88.8,82.5,89.6,29.9,11.05431543,6.298119157,65.1,61.4,1559544,5488518,26671313,10231262,7922332,13092,22.8,53436,30943,15.9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,52983,28752,18027,10264,40468,4913,44606,1836.6,325.25,2148006,Kentucky
Lubbock,258862,229943,12.6,229573,6.7,23.2,11.8,50.7,80.6,7.8,1.1,2.6,0.1,3.0,36.1,51.5,11447,6.3,Not applicable,51.2,140800,1408,546,955,Not applicable,95479,2.54,72.3,22.2,91.8,79.8,86.5,31.5,9.50717889,14.69348711,65,61.0,697662,2463661,1348702,4623349,4583259,19415,16.6,50453,27496,20.1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20334,10840,6591,4691,14734,1947,17137,1875.4,122.41,4845000,Texas
Madison,259680,233173,11.4,233209,4.9,16.3,11.6,50.5,78.6,7.0,0.5,9.0,0.1,3.5,7.0,73.6,9524,12.1,Not applicable,47,246300,1751,756,1118,Not applicable,110294,2.21,73.8,14.6,95.6,88.3,95.5,57.9,5.647267509,4.40202519,72.2,69.5,718303,4054428,2798213,2859633,4804886,19993,19.6,65332,38285,16.9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20714,10776,7329,2799,16693,1499,17966,3037.0,76.79,5548000,Wisconsin
Memphis,651073,651873,-0.1,646889,7.6,25.0,12.8,52.7,29.2,64.1,0.2,1.7,0.0,1.5,7.2,25.7,30720,6.2,Not applicable,46.6,101800,1191,450,901,Not applicable,251732,2.53,84.0,9.6,80.6,69.5,85.7,26.2,10.02229398,15.54384631,63.3,60.8,1503947,6624207,18372536,28725894,18848867,28770,21.7,41228,25605,25.1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,70891,30568,35710,43949,24758,6795,61460,2053.3,315.06,4748000,Tennessee
Mesa,518012,440092,17.7,439041,6.8,24.3,16.4,50.6,81.5,4.2,2.6,2.2,0.5,3.5,27.7,61.3,32478,11.8,Not applicable,61.1,226500,1463,461,1044,Not applicable,181130,2.74,80.6,21.4,92.3,86.6,88.8,27.4,7.498968142,14.52112189,64.2,57.3,685343,2466790,3353021,2705266,5819701,12873,25.4,58181,29500,14.8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,33113,16476,11536,7129,24552,3383,28022,3217.5,136.45,0446000,Arizona
Nashville,670820,603438,11.2,601222,6.8,21.0,11.7,51.8,63.5,27.6,0.2,3.7,0.1,2.6,10.5,55.4,28912,13.3,Not applicable,53.9,239000,1420,494,1100,Not applicable,272648,2.36,80.8,17.8,92.4,84.9,88.8,41.1,8.387768806,13.54367177,71.6,67.1,2455123,8466921,6201147,16446116,9527759,15257,25.0,59828,35243,15.1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,68228,38160,24115,16382,49247,5930,59207,1265.4,475.13,4752006,Tennessee
Miami,467963,399481,17.1,399457,5.9,17.5,16.9,50.5,76.1,16.8,0.2,1.1,0.0,1.7,72.7,11.3,6873,58.3,Not applicable,29.6,317700,1973,621,1183,Not applicable,176777,2.51,86.3,77.4,84.9,66.1,78.0,29.6,6.883823096,23.18127026,62.4,56.3,1914860,5732065,887297,7906794,6476258,15647,29.3,39049,28804,23.4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,98222,49530,39762,77125,17148,5288,89984,11135.9,35.87,1245000,Florida
Milwaukee,590157,594498,-0.7,594833,7.4,25.9,10.5,51.9,44.4,38.7,0.6,4.3,0.0,4.0,19.0,35.1,19347,10.0,Not applicable,41.4,122100,1298,555,858,Not applicable,230086,2.51,82.4,20.3,85.1,74.9,84.0,24.6,10.01615967,10.27471437,64.6,62.8,Suppressed to avoid disclosure of confidential information,5488325,8678858,8694280,3894914,6503,22.2,41838,23462,25.4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,38017,16866,17101,17809,18185,2999,32743,6188.3,96.12,5553000,Wisconsin
Minneapolis,429606,382603,12.3,382578,6.5,19.8,10.0,49.4,63.6,19.2,1.4,5.9,0.0,4.8,9.6,60.0,13704,15.6,Not applicable,47.2,251600,1714,643,1027,Not applicable,176974,2.28,76.7,22.0,92.8,83.6,90.0,50.4,8.884209744,7.160419742,74.4,72.8,1646946,6545255,3944223,6079468,4070023,10359,23.2,62583,38808,19.1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44702,23657,16547,9311,33010,3036,38969,7088.3,53.97,2743000,Minneapolis
New Orleans,390144,343828,13.5,343829,5.9,20.1,14.1,52.5,33.9,59.5,0.2,2.9,0.0,1.9,5.5,30.7,16075,5.5,Not applicable,48.3,231500,1714,514,998,Not applicable,153819,2.45,85.6,8.3,85.1,73.4,86.5,37.6,10.53598784,10.64649144,61.7,59.9,2765414,2667406,4352733,2687020,3245075,8788,24.2,41604,31385,23.7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,41506,19459,17792,20400,19511,4008,35655,2029.4,169.42,2255000,Louisiana
New York,8336817,8175031,2.0,8175133,6.5,20.8,14.5,52.3,42.7,24.3,0.4,14.1,0.1,3.6,29.1,32.1,150924,36.8,Not applicable,32.7,606000,2730,903,1443,Not applicable,3167034,2.60,90.0,48.5,89.1,81.5,82.2,38.1,6.799629397,8.558753186,63.6,58.8,27452861,76165547,14816322,173797846,92265000,11067,41.5,63998,39828,17.9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1050911,571852,413899,539447,483136,57216,966167,27012.5,302.64,3651000,New York
